"Tool"	"Subcommand"	"Description"
":ref:`AlignRecords`"		"Multiple aligns sequences in a database"
	"across"	"Aligns sequence columns within groups and across rows"
	"block"	"Aligns sequence groups across both columns and rows"
	"within"	"Aligns sequence fields within rows"
":ref:`AssignGenes`"	"igblast"	"Runs IgBLAST on a fasta file"
":ref:`ConvertDb`"		"Converts tab delimited database files"
	"airr"	"Converts input to an AIRR TSV file"
	"baseline"	"Creates a special BASELINe formatted fasta file from a database"
	"changeo"	"Converts input into a Change-O TSV file"
	"fasta"	"Creates a fasta file from database records"
	"genbank"	"Creates fasta and feature table files for input to tbl2asn"
":ref:`CreateGermlines`"		"Reconstructs germline sequences from alignment data"
":ref:`DefineClones`"		"Assigns clones by V gene, J gene and junction distance"
":ref:`MakeDb`"		"Creates standardized databases from germline alignment results"
	"igblast"	"Parses IgBLAST nucleotide alignments"
	"igblast-aa"	"Parses IgBLAST amino acid alignments"
	"ihmm"	"Parses iHMMune-Align output"
	"imgt"	"Parses IMGT/HighV-QUEST output"
":ref:`ParseDb`"		"Parses annotations in tab delimited database files"
	"add"	"Adds fields to the database"
	"delete"	"Deletes specific records"
	"drop"	"Deletes entire fields"
	"index"	"Adds a numeric index field"
	"merge"	"Merge files"
	"rename"	"Renames fields"
	"select"	"Selects specific records"
	"sort"	"Sorts records by a field"
	"split"	"Splits database files by field values"
	"update"	"Updates field and value pairs"
